id,user_id,rdv,asofright,ovr55,clusteros,phased,stalled,name,status,descr,prj_url,address,state,zip_code,year_compl,prjarea,singfamhu,multifam,hu,gqpop,rptdemp,commsf,hotelrms,total_cost,ret_sqft,ofcmd_sqft,indmf_sqft,whs_sqft,rnd_sqft,ei_sqft,other_sqft,hotel_sqft,other_rate,affordable,latitude,longitude,parcel_id,mixed_use,point,programs,forty_b,residential,commercial,municipal,devlper,yrcomp_est,percomp_24,percomp_28,percomp_35,percomp_45,units_1bd,units_2bd,units_3bd,unknownhu,affrd_unit,aff_u50,aff_50_80,aff_80_120,aff_120p,aff_unknown,headqtrs,park_type,publicsqft,unk_sqft,loc_id,parcel_fy,rpa_name,county,nhood,n_transit,flag,deleted_at,traffic_count_data,proj_id_present,traffic_count_data_present,taz,apn,trunc,gluc,placetype,proj_id,stat_comts,mix_descr,notes,created_at,updated_at,sb_type
12,1,f,f,f,f,f,f,TR 2554,in_construction,"""description"": ""122 Highland Drive"", ""devtype"": ""Residential"", ""resdev2"": ""SF"", ""tea_zone"": ""Yellow""", ,154   CLYDELL CT ,CA,,,0,68,,68,,,,0,,0,,,,,,,0,,,35.145462284623,-120.627840207671,,f,POINT(-120.627840207671 35.145462284623),,,t,,PISMO BEACH,,f,0,0,0,0,,,,,,,,,,,f,,,,293382,,,,Pismo Beach,{},f,,,f,f,,005272028,t,ResDev,Residential development,,Under construction,"",; ,2022-12-11 03:05:08.892851,2022-12-11 03:05:08.892851,
13,1,f,f,f,f,f,f,Paseo St.,projected,"""devtype"": ""Residential"", ""resdev2"": ""SF"", ""tea_zone"": ""Red"", ""edited_by"": ""Reviewed With City Staff""", ,569   MAY ST ,CA,,,0,7,,7,,,,0,,0,,,,,,,0,,,35.1288720627697,-120.573206387179,,f,POINT(-120.573206387179 35.1288720627697),,,t,,ARROYO GRANDE,,f,0,0,0,0,,,,,,,,,,,f,,,,300768,,,,Arroyo Grande,{},f,,,f,f,,007254059,t,ResDev,Residential development,,Approved, ,Will be updated on spreadsheet; all attributes,2022-12-11 03:05:08.892851,2022-12-11 03:05:08.892851,
14,1,f,f,f,f,f,f,La Canada,projected,"""devtype"": ""Residential"", ""resdev2"": ""SF"", ""tea_zone"": ""Red"", ""edited_by"": ""Reviewed With City Staff""", ,   LA CANADA  ,CA,,,0,15,,15,,,,0,,0,,,,,,,0,,,35.1380574563474,-120.58649601258,,f,POINT(-120.58649601258 35.1380574563474),,,t,,,,f,0,0,0,0,,,,,,,,,,,f,,,,367370,,,,Arroyo Grande,{},f,,,f,f,,007788016,t,ResDev,Residential development,,"Approved, not constructed", ,Sq ft and %  will be updated in the spreadsheet; ,2022-12-11 03:05:08.892851,2022-12-11 03:05:08.892851,
15,1,f,f,f,f,f,f,Pearwood Ave.,projected,"""devtype"": ""Residential"", ""resdev2"": ""SF"", ""tea_zone"": ""Red"", ""edited_by"": ""Reviewed With City Staff""", ,   HUASNA  ,CA,,,0,8,,8,,,,0,,0,,,,,,,0,,,35.1328834601548,-120.559351314373,,f,POINT(-120.559351314373 35.1328834601548),,,t,,ARROYO GRANDE,,f,0,0,100,0,,,,,,,,,,,f,,,,250592,,,,Arroyo Grande,{},f,,,f,f,,007462001,t,ResDev,Residential development,,"Approved, not constructed", ,; ,2022-12-11 03:05:08.892851,2022-12-11 03:05:08.892851,
16,1,f,f,f,f,f,f,382 S Halcyon Rd.,projected,"""devtype"": ""Residential"", ""resdev2"": ""SF"", ""tea_zone"": ""Green""", ,370  S HALCYON RD ,CA,,,0,19,,19,,,,0,,0,,,,,,,0,,,35.1132305037287,-120.592120481039,,f,POINT(-120.592120481039 35.1132305037287),,,t,,ARROYO GRANDE,,f,0,0,0,0,,,,,,,,,,,f,,,,276770,,,,Arroyo Grande,{},f,,,f,f,,077204037,t,ResDev,Residential development,,Approved, ,; ,2022-12-11 03:05:08.892851,2022-12-11 03:05:08.892851,
17,1,f,f,f,f,f,f,Rodeo Facilities,planning,"", ,631  N SANTA ROSA ST ,CA,,,0,0,,0,,,,0,,0,,,,,,,0,,,35.3088691832051,-120.670646888198,,f,POINT(-120.670646888198 35.3088691832051),,,,,SAN LUIS OBISPO,,f,0,0,0,0,,,,,,,,,,,f,,,,364507,,,,Cal Poly,{},f,,,f,f,,073341026,t,null,University facility,,Pending environmental review, ,; ,2022-12-11 03:05:08.892851,2022-12-11 03:05:08.892851,
18,1,f,f,f,f,f,f,Irrigation Training and Research Center,planning,"", ,631  N SANTA ROSA ST ,CA,,,0,0,,0,,,,0,,0,,,,,,,0,,,35.3105559896816,-120.670007119638,,f,POINT(-120.670007119638 35.3105559896816),,,,,SAN LUIS OBISPO,,f,0,0,0,0,,,,,,,,,,,f,,,,364505,,,,Cal Poly,{},f,,,f,f,,073341026,t,null,University facility,,Pending environmental review, ,; ,2022-12-11 03:05:08.892851,2022-12-11 03:05:08.892851,
19,1,f,f,f,f,f,f,Knolls at Avenida Phase 1,completed,"""description"": ""60 mf"", ""devtype"": ""Residential"", ""resdev2"": ""MF"", ""tea_zone"": ""Green"", ""edited_by"": ""PD""", ,10785   EL CAMINO REAL  ,CA,,,0,0,60,60,,,,0,,0,,,,,,,0,,,35.4578901975151,-120.640899862373,,f,POINT(-120.640899862373 35.4578901975151),,,t,,ATASCADERO,,f,100,0,0,0,,,,,,,,,,,f,,,,255947,,,,Atascadero,{},f,,,f,f,,045321026,t,ResDev,Residential development,,complete,"","farmworker housing, affordable housing; ",2022-12-11 03:05:08.892851,2022-12-11 03:05:08.892851,
20,2,f,f,f,f,f,f,My Test Development,planning,test,,1655 EL DORADO DRIVE,CA,93906,2025,,60,,180,,,0,0,,0,0,0,0,0,0,0,0,,,36.7105007115521,-121.6371886818418,,f,POINT(-121.6371886818418 36.7105007115521),,,t,,Salinas city,,f,80,20,,,,,,,,,,,,,f,,0,0,18018,,Association of Monterey Bay Governments,Monterey,,{},f,,,f,f,1261,261541001000,t,,,,,,,2023-05-05 03:07:54.398455,2023-05-05 03:07:54.398455,
21,1,f,f,f,f,f,f,Aerovista Place,planning,"""devtype"": ""Non-Residential"", ""edited_by"": ""2""", ,862   AEROVISTA PL ,CA,,,37000,0,,0,,,,0,,37000,,,,,,,0,,,35.2427826907798,-120.641859911434,,f,POINT(-120.641859911434 35.2427826907798),,,,t,SAN LUIS OBISPO,,f,100,0,0,0,,,,,,,,,,,f,,,,257802,,,,San Luis Obispo,{},f,,,f,f,,053412015,t,OFF,Office development,,Building review, , ;  ,2022-12-11 03:05:08.892851,2022-12-11 03:05:08.892851,
